Collection Pillar,Recommendation,Sell Priority,Museum Score,Investment Score,Liquidity Score,Duplicate,Duplicate Count,Upgrade Candidate,Needs Grading,Needs Photo,Needs Verification,Verification Notes,Series,Issue Full,Issue,Issue Ext,Title,Edition / Variant,Publisher,Series Group,Age,Release Date,Cover Date,Publication Date,Barcode,Quantity,Location,Current Price,Cover Price,Purchase Price,Purchase Date,Is Key Comic,Key Comic Reason,Key Categories,Story Arc,Crossover,Genres,Slab Status,Grade Rating,Assumed Grade,Signees,Tags,Cover Image URL,CLZ Hash,BP Comic ID,BP Series ID,Added Date,Modified Date,Format,Collection Status,Collection,Read It,Country,Language,Value Locked,Raw XML Index
X-Men,Sell Duplicate,High,28,22,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Weapons of Mutant Destruction: Alpha,1A,1,A,Part One,Regular Skan Cover,Marvel Comics,,Modern,"Jun 21, 2017",Aug 2017,Aug 2017,75960608743300111,1,High Value Bin,36.0,4.99,0.0,,No,,,Weapons Of Mutant Destruction,Weapons of Mutant Destruction,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/64/64_485164_0_.jpg,4c446c866b374e128abfc06609ac627c,485164,75022,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,1
Sci-Fi,Sell Duplicate,High,38,47,75,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Captain America: Steve Rogers,1A,1,A,"""Hail Hydra""",Regular Jesus Saiz Cover,Marvel Comics,,Modern,"May 25, 2016",Jul 2016,Jul 2016,75960608457900111,2,10,42.0,4.99,0.0,,Minor,Captain America revealed as Hydra member,Story event,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/d8/d8_439740_0_CaptainAmericaSteveRogers1A.jpg,1b3b1b31748e446b971eaa0cbe1dd82e,439740,68284,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,2
X-Men,Sell Duplicate,High,28,22,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Weapons of Mutant Destruction: Alpha,1A,1,A,Part One,Regular Skan Cover,Marvel Comics,,Modern,"Jun 21, 2017",Aug 2017,Aug 2017,75960608743300111,1,High Value Bin,36.0,4.99,0.0,,No,,,Weapons Of Mutant Destruction,Weapons of Mutant Destruction,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/64/64_485164_0_.jpg,f0bca848ee574e0ca037d2dda40e8a09,485164,75022,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,3
Spider-Man,Verify then Lot,High,25,10,55,No,1,No,No,No,Yes,"Assumed NM, not verified",Hulk,4B,4,B,,Variant Ema Lupacchino Venomized Cover,Marvel Comics,,Modern,"Mar 22, 2017",,,75960608612200421,1,21,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/98/98_473827_0_Hulk4B.jpg,e12451fe394d4f268f8ba01174121c83,473827,72150,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,4
X-Men,Verify then Lot,High,25,0,55,No,1,No,No,No,Yes,"Assumed NM, not verified","Deadpool, Vol. 4",41,41,,"Wade's No Good, Horrible, Very Bad Day",,Marvel Comics,Deadpool,Modern,"Jan 28, 2015",Mar 2015,Mar 2015,75960607905604111,1,16,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/93/93_387935_0_WadesNoGoodHorribleVeryBadDay.jpg,5ff13822ab2a4b1f920cad91d6a4857a,387935,47245,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,5
Cover Art & Favorite Artists,Verify then Lot,High,35,10,40,No,1,No,No,No,Yes,"Assumed NM, not verified","Ant-Man, Vol. 1",2E,2,E,,Mark Brooks 2nd Printing Variant Cover,Marvel Comics,,Modern,"Feb 04, 2015","Feb 04, 2015","Feb 04, 2015",75960608162200212,1,,0.0,3.99,3.99,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/99/99_408990_0_.jpg,1d07910787c74118b3e83f56f18daf90,408990,58832,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,6
X-Men,Verify then Lot,High,35,10,55,No,1,No,No,No,Yes,"Assumed NM, not verified",Wolverine: Infinity Watch,1D,1,D,,Variant Jee Hyung Lee Skrulls Cover,Marvel Comics,,Modern,"Feb 20, 2019",,,75960609219200141,1,31,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/b8/b8_600678_0_WolverineInfinityWatch1D.jpg,bad96aed60c244ffa46a05bae57bda2d,600678,87909,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,7
X-Men,Inventory Review,Medium,33,22,60,No,1,No,No,No,Yes,"Assumed NM, not verified",Wolverine: Infinity Watch,1A,1,A,,Regular Giuseppe Camuncoli Cover,Marvel Comics,,Modern,"Feb 20, 2019",Apr 2019,Apr 2019,75960609219200111,1,31,22.0,3.99,0.0,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/4e/4e_600676_0_WolverineInfinityWatch1A.jpg,cbee0e23ec484820babb1f47cbd66c87,600676,87909,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,8
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Marvel's Avengers: Endgame Prelude,2,2,,,,Marvel Comics,,Modern,"Jan 09, 2019",Mar 2019,Mar 2019,75960609138600211,1,,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/42/42_594587_0_MarvelsAvengersUntitledPrelude.jpg,97178f08802e4b878868435a5e6aacae,594587,86792,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,9
Spider-Man,Sell Duplicate,High,28,22,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check",Edge of Venomverse,1A,1,A,,Regular Francesco Mattina Cover,Marvel Comics,,Modern,"Jun 28, 2017",Aug 2017,Aug 2017,75960608738900111,1,17,26.0,3.99,0.0,,No,,,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/31/31_485134_0_.jpg,ea1a5d20ecbe4fa596e5cec416652d81,485134,75017,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,14
General Inventory,Sell / Lot Candidate,High,8,22,45,No,1,No,No,No,Yes,"Assumed NM, not verified","Thor, Vol. 4",4A,4,A,Thor vs. Thor,Regular Russell Dauterman Cover,Marvel Comics,Thor,Modern,"Jan 28, 2015",Mar 2015,Mar 2015,75960608116500411,1,"Thor, Unity, Venom, WW",26.0,3.99,0.0,,No,,,,,Action; Adventure; Fantasy; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/42/42_387862_0_ThorvsThor.jpg,7ec1b39a7a874500b2c572335b1d3753,387862,57213,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,22
General Inventory,Sell / Lot Candidate,High,8,22,45,No,1,No,No,No,Yes,"Assumed NM, not verified","Thor, Vol. 4",3A,3,A,When the Ice Lords Make War,Regular Russell Dauterman Cover,Marvel Comics,Thor,Modern,"Dec 10, 2014",Feb 2015,Feb 2015,75960608116500311,1,"Thor, Unity, Venom, WW",26.0,3.99,0.0,,No,,,,,Action; Adventure; Fantasy; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/13/13_384819_0_WhentheIceLordsMakeWar.jpg,7568ba06180d4c45a187de53807fc496,384819,57213,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,24
Batman,Sell Duplicate,High,18,32,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Catwoman, Vol. 5",7B,7,B,Part 1,Variant Ben Oliver Cover,DC Comics,,Modern,"Jan 16, 2019",Mar 2019,Mar 2019,76194135682200721,1,11,36.0,3.99,3.99,,No,,,Something Smells Fishy,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/2a/2a_594857_0_CatwomanVol57B.jpg,9b2f72543ba7406eaa6c43ade9d90c35,594857,83392,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,27
Batman,Sell Duplicate,High,18,32,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Catwoman, Vol. 5",7B,7,B,Part 1,Variant Ben Oliver Cover,DC Comics,,Modern,"Jan 16, 2019",Mar 2019,Mar 2019,76194135682200721,1,11,36.0,3.99,3.99,,No,,,Something Smells Fishy,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/2a/2a_594857_0_CatwomanVol57B.jpg,549e28dc12ad424ea8100825a11440c9,594857,83392,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,28
Batman,Sell Duplicate,High,38,47,80,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Batman, Vol. 3",50A,50,A,The Wedding of Batman & Catwoman,Mikel Janin Regular Cover,DC Comics,Batman,Modern,"Jul 04, 2018",Sep 2018,Sep 2018,76194134182805011,1,7,24.0,4.99,0.0,,Minor,Marriage of Bruce Wayne and Selina Kyle,Wedding,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/23/23_565863_0_BatmanVol350A.jpg,814187461b0e465da8f53ca1b74c3766,565863,69144,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,29
Cover Art & Favorite Artists,Inventory Review,Medium,35,20,45,No,1,No,No,No,Yes,"Assumed NM, not verified","Justice League, Vol. 3",1B,1,B,Part One,Variant Jim Lee & Scott Williams Cover,DC Comics,Justice League,Modern,"Jun 06, 2018",Aug 2018,Aug 2018,76194135724900121,1,25,16.0,3.99,0.0,,No,,,The Totality,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a2/a2_556718_0_JusticeLeagueVol31B.jpg,37df586002ff4254ad5f7634f12e5252,556718,82756,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,31
Batman,Sell Duplicate,High,48,57,90,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Batman, Vol. 3",50C,50,C,The Wedding Of Batman & Catwoman,Variant Jim Lee & Scott Williams Cover,DC Comics,Batman,Modern,"Jul 04, 2018",Sep 2018,Sep 2018,76194134182805031,1,Wall Display,48.0,4.99,0.0,,Minor,Marriage of Bruce Wayne and Selina Kyle,Wedding,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/74/74_565865_0_BatmanVol350C.jpg,f836b58e1b87485d8e34698250ddabd0,565865,69144,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,32
Batman,Inventory Review,Medium,33,32,60,No,1,No,No,No,Yes,"Assumed NM, not verified","Batgirl, Vol. 5",28B,28,B,,Variant Joshua Middleton Cover,DC Comics,,Modern,"Oct 24, 2018",,,76194134175002821,1,5,20.0,3.99,0.0,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/87/87_581642_0_BatgirlVol528B.jpg,04e1311f5d2f4477ae883e000a9a8aee,581642,69392,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,33
Batman,Sell Duplicate,High,28,32,60,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Catwoman, Vol. 5",5B,5,B,Part 5,Variant Stanley Artgerm Lau Cover,DC Comics,,Modern,"Nov 14, 2018",Jan 2019,Jan 2019,76194135682200521,1,11,22.0,3.99,0.0,,No,,,Copycats,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/63/63_584150_0_CatwomanVol55B.jpg,e0aec271cafd40179be99ae8f30728f9,584150,83392,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,35
Batman,Sell Duplicate,High,28,32,70,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Batgirl, Vol. 5",31B,31,B,,Variant Stanley Artgerm Lau Cover,DC Comics,,Modern,"Jan 30, 2019",,,76194134175003121,1,Wall Display,30.0,3.99,0.0,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/7f/7f_594838_0_.jpg,18e20f8b3fdc47b48b8313929b4f088a,594838,69392,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,38
Batman,Sell Duplicate,High,38,47,80,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Batman, Vol. 3",50A,50,A,The Wedding of Batman & Catwoman,Mikel Janin Regular Cover,DC Comics,Batman,Modern,"Jul 04, 2018",Sep 2018,Sep 2018,76194134182805011,1,7,24.0,4.99,0.0,,Minor,Marriage of Bruce Wayne and Selina Kyle,Wedding,,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/23/23_565863_0_BatmanVol350A.jpg,63bea82a8db34701a7c7c5a8ef5c5c2d,565863,69144,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,40
Cover Art & Favorite Artists,Verify then Lot,High,35,10,40,No,1,No,No,No,Yes,"Assumed NM, not verified","Suicide Squad, Vol. 4",47B,47,B,,Variant Francesco Mattina Cover,DC Comics,,Modern,"Oct 10, 2018",,,76194134274004721,1,28,0.0,3.99,3.99,,No,,,,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/37/37_581702_0_SuicideSquadVol447B.jpg,5f70cbc667e5462aaf6c41e732953a88,581702,69869,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,41
Batman,Inventory Review,Medium,25,20,60,No,1,No,No,No,Yes,"Assumed NM, not verified","Batman, Vol. 3",61B,61,B,Part 1: Suddenly Indeed,"Francesco ""Matt"" Mattina Variant",DC Comics,Batman,Modern,"Dec 19, 2018",Feb 2019,Feb 2019,76194134182806121,1,7,16.0,3.99,0.0,,No,,,Knightmares,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/4c/4c_591158_0_BatmanVol361B.jpg,a86e4c074f0044e09d9c8bd8fb88c011,591158,69144,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,42
Batman,Inventory Review,Medium,35,20,60,No,1,No,No,No,Yes,"Assumed NM, not verified","Catwoman, Vol. 5",6B,6,B,Finale,Variant Stanley Artgerm Lau Cover,DC Comics,,Modern,"Dec 19, 2018",Feb 2019,Feb 2019,76194135682200621,1,11,14.0,3.99,0.0,,No,,,Copycats,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/71/71_591163_0_CatwomanVol56B.jpg,a533933f9b4e4bd4b2799574a30f3f84,591163,83392,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,44
Batman,Sell Duplicate,High,28,32,60,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Catwoman, Vol. 5",5B,5,B,Part 5,Variant Stanley Artgerm Lau Cover,DC Comics,,Modern,"Nov 14, 2018",Jan 2019,Jan 2019,76194135682200521,1,11,22.0,3.99,0.0,,No,,,Copycats,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/63/63_584150_0_CatwomanVol55B.jpg,23cc5f929aa24677ba2890d289c60110,584150,83392,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,45
Batman,Verify then Lot,High,25,0,55,No,1,No,No,No,Yes,"Assumed NM, not verified; Missing barcode","Batman, Vol. 1",426B,426,B,Chapter 1,Newsstand Edition,DC Comics,Batman,Modern,Oct 1988,Dec 1988,Dec 1988,,1,6,0.0,0.0,0.0,,No,,,A Death In The Family,,Action; Adventure; Crime; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/a1/a1_673288_0_BatmanVol1426B.png,28c258c9ab544f1e88cce93fe41266bf,673288,10650,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,46
General Inventory,Sell / Lot Candidate,High,0,0,30,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Wonder Woman, Vol. 4",40A,40,A,Chapter 5,,DC Comics,Wonder Woman,Modern,Mar 2015,May 2015,May 2015,76194130628504011,1,"Thor, Unity, Venom, WW",0.0,2.99,2.99,,No,,,War-Torn,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/d6/d6_393964_0_.jpg,4f25a4f4352747928eb207e7c95d5ad2,393964,41300,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,49
General Inventory,Sell / Lot Candidate,High,0,0,30,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Wonder Woman, Vol. 4",40A,40,A,Chapter 5,,DC Comics,Wonder Woman,Modern,Mar 2015,May 2015,May 2015,76194130628504011,1,"Thor, Unity, Venom, WW",0.0,2.99,2.99,,No,,,War-Torn,,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/d6/d6_393964_0_.jpg,1bedb07b9610410a84eb113cc1cf96d7,393964,41300,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,50
Cover Art & Favorite Artists,Sell Duplicate,High,28,32,55,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Wonder Woman, Vol. 5",64B,64,B,Part 1,Variant Stanley Artgerm Lau Cover,DC Comics,,Modern,"Feb 13, 2019",,,76194134285606421,1,"Thor, Unity, Venom, WW",28.0,3.99,0.0,,No,,,The Grudge,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/89/89_600036_0_WonderWomanVol564B.jpg,e2c7ef23e5e0437194c8e3ffdba9b9ec,600036,69154,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,51
General Inventory,Sell / Lot Candidate,High,0,10,35,No,1,No,No,No,Yes,"Assumed NM, not verified","Justice League Dark, Vol. 2",4A,4,A,Part Three,Regular Riley Rossmo Enhanced Foil Cover,DC Comics,,Modern,"Oct 17, 2018",Dec 2018,Dec 2018,76194135725600411,1,23,16.0,3.99,0.0,,No,,,The Witching Hour,The Witching Hour,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/99/99_581725_0_PartThree.jpg,43666ce61a87462d8dbd2d49d437de36,581725,83395,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,54
Batman,Inventory Review,Medium,33,22,60,No,1,No,No,No,Yes,"Assumed NM, not verified","Catwoman, Vol. 5",4A,4,A,Part Four,Regular Joelle Jones Enhanced Foil Cover,DC Comics,,Modern,"Oct 10, 2018",Dec 2018,Dec 2018,76194135682200411,1,11,22.0,3.99,0.0,,No,,,Copycats,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/0d/0d_581651_0_PartFour.jpg,6af5af57145c483f9158c77bf7f6b7fa,581651,83392,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,55
Cover Art & Favorite Artists,Sell Duplicate,High,28,32,55,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","Wonder Woman, Vol. 5",64B,64,B,Part 1,Variant Stanley Artgerm Lau Cover,DC Comics,,Modern,"Feb 13, 2019",,,76194134285606421,1,"Thor, Unity, Venom, WW",28.0,3.99,0.0,,No,,,The Grudge,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/89/89_600036_0_WonderWomanVol564B.jpg,680ff52666d44a65a780fdb742171dcf,600036,69154,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,57
X-Men,Verify then Lot,High,10,0,55,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","X-Men: Gold, Vol. 2",2A,2,A,Part Two,Regular Ardian Syaf Cover,Marvel Comics,,Modern,"Apr 26, 2017",Jun 2017,Jun 2017,75960608651100211,1,"X-Force, X-Men, X-O",0.0,3.99,3.99,,No,,,Back to the Basics,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/50/50_477551_0_PartTwo.jpg,da7c1abbb33349288603ca128fb20d65,477551,73889,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,58
X-Men,Verify then Lot,High,10,0,55,Yes,3,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","X-Men: Gold, Vol. 2",3A,3,A,Part Three,Regular Ardian Syaf Cover,Marvel Comics,,Modern,"May 03, 2017",Jul 2017,Jul 2017,75960608651100311,1,"X-Force, X-Men, X-O",0.0,3.99,3.99,,No,,,Back to the Basics,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/bb/bb_481859_0_PartThree.jpg,96efe44d02cc43e2bcd7d8023ea217f9,481859,73889,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,59
X-Men,Verify then Lot,High,10,0,55,Yes,2,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","X-Men: Gold, Vol. 2",2A,2,A,Part Two,Regular Ardian Syaf Cover,Marvel Comics,,Modern,"Apr 26, 2017",Jun 2017,Jun 2017,75960608651100211,1,"X-Force, X-Men, X-O",0.0,3.99,3.99,,No,,,Back to the Basics,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/50/50_477551_0_PartTwo.jpg,7e432427110349568c7f4bc40dac8336,477551,73889,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,60
X-Men,Verify then Lot,High,10,0,55,Yes,3,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","X-Men: Gold, Vol. 2",3A,3,A,Part Three,Regular Ardian Syaf Cover,Marvel Comics,,Modern,"May 03, 2017",Jul 2017,Jul 2017,75960608651100311,1,"X-Force, X-Men, X-O",0.0,3.99,3.99,,No,,,Back to the Basics,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/bb/bb_481859_0_PartThree.jpg,9b330c2e632e47d597772e53ab180a33,481859,73889,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,61
X-Men,Verify then Lot,High,10,0,55,Yes,3,No,No,No,Yes,"Assumed NM, not verified; Duplicate/quantity check","X-Men: Gold, Vol. 2",3A,3,A,Part Three,Regular Ardian Syaf Cover,Marvel Comics,,Modern,"May 03, 2017",Jul 2017,Jul 2017,75960608651100311,1,"X-Force, X-Men, X-O",0.0,3.99,3.99,,No,,,Back to the Basics,,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/bb/bb_481859_0_PartThree.jpg,116bc9c43f8f49e7aa051f0978314fdc,481859,73889,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,62
General Inventory,Sell / Lot Candidate,High,8,22,35,No,1,No,No,No,Yes,"Assumed NM, not verified","Flashpoint, Vol. 2",2A,2,A,Chapter Two,Andy Kubert Regular Cover,DC Comics,,Modern,"Jun 01, 2011",Aug 2011,Aug 2011,76194129873300211,1,18,20.0,3.99,0.0,,No,,,,Flashpoint,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/b6/b6_278149_0_ChapterTwo.jpg,8c5c9825e4f14fb6ba3a184120478ba3,278149,38345,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,63
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Flashpoint, Vol. 2",3A,3,A,Chapter Three,Andy Kubert Regular Cover,DC Comics,,Modern,"Jul 06, 2011",Sep 2011,Sep 2011,76194129873300311,1,18,0.0,3.99,3.99,,No,,,,Flashpoint,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/da/da_281748_0_ChapterThree.jpg,d9806b323f8f4a1a8e39bd39dc4b8c98,281748,38345,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,64
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified","Flashpoint, Vol. 2",4A,4,A,Chapter Four,Andy Kubert Regular Cover,DC Comics,,Modern,"Aug 03, 2011",Oct 2011,Oct 2011,76194129873300411,1,18,0.0,3.99,3.99,,No,,,,Flashpoint,Action; Adventure; Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/04/04_285479_0_ChapterFour.jpg,d6a287ff8e054d84b05667ebf7f38113,285479,38345,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,65
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Flashpoint: Deathstroke: The Curse of Ravager,1,1,,Separation Anxiety,,DC Comics,,Modern,"Jun 08, 2011",Aug 2011,Aug 2011,76194130413700111,1,18,0.0,2.99,2.99,,No,,,,Flashpoint,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/7e/7e_278230_0_SeparationAnxiety.jpg,0877eac95f244bc48c0c281f3f2f6f56,278230,39121,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,67
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Flashpoint: Deathstroke: The Curse of Ravager,2,2,,Red Tide,,DC Comics,,Modern,"Jul 13, 2011",Sep 2011,Sep 2011,76194130413700211,1,18,0.0,2.99,2.99,,No,,,,Flashpoint,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/e2/e2_281757_0_RedTide.jpg,29d42c2ea2854a04bc31f307e3045675,281757,39121,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,68
General Inventory,Sell / Lot Candidate,High,0,0,30,No,1,No,No,No,Yes,"Assumed NM, not verified",Flashpoint: Deathstroke: The Curse of Ravager,3,3,,The Treasure,,DC Comics,,Modern,"Aug 03, 2011",Oct 2011,Oct 2011,76194130413700311,1,18,0.0,2.99,2.99,,No,,,,Flashpoint,Super-Heroes,Raw,0.0,NM assumed,,,https://clzcomics.r.sizr.io/core/covers/lg/84/84_285494_0_TheTreasure.jpg,8ee63044b963428a9da5d4069103ead2,285494,39121,2021-03-22,2026-07-04,Comic,In Collection,My comic collection,No,USA,English,No,69
